Time,fi-1001-pv,fc-1011-pv,fc-1012-pv,fc-1002-pv,ti-1001-pv,ti-1011-pv,ti-1012-pv,ti-1013-pv,ti-1014-pv,ti-1015-pv,ti-1016-pv,ti-1021-pv,ti-1022-pv,ti-1023-pv,ti-1024-pv,ti-1025-pv,ti-1026-pv,tc-1002-pv,ai-1001-pv,ai-1002-pv,ai-1010-pv,pi-1050-pv,pi-1002-pv,pc-1611-pv
10,1302.33,650.79,653.97,1561.56,69.55,437.48,834.08,840.51,843.66,854.35,861.18,439.87,837.20,841.41,844.79,852.35,861.04,438.6799478,1.50,13.65,933.02,-187.66,81.74,107.18
11,1300.94,646.06,652.17,1565.60,71.49,440.99,837.37,839.81,848.67,853.13,861.74,441.86,832.61,841.03,845.04,852.14,863.38,441.4270943,1.35,15.35,929.66,-194.88,81.56,106.97
12,1301.51,646.97,648.16,1557.84,68.28,440.10,835.01,838.43,845.24,852.59,861.12,437.58,832.85,838.74,844.55,853.61,860.68,438.8397571,1.37,16.03,934.48,-193.84,82.38,108.90
13,1295.74,647.19,646.11,1555.36,70.69,440.61,836.65,839.51,845.97,851.60,863.02,439.23,832.90,838.13,848.48,850.92,860.67,439.9169331,1.63,15.85,923.93,-186.43,81.99,108.74
14,1297.74,647.49,646.32,1561.07,70.25,439.62,833.52,840.08,845.79,855.11,863.15,438.04,835.35,839.13,847.50,851.06,860.94,438.8279074,1.52,15.30,938.56,-194.90,81.52,109.16
15,1297.91,646.19,645.98,1556.30,70.48,438.49,834.40,839.58,846.79,851.57,861.26,441.73,836.13,839.38,847.73,855.03,860.63,440.1104624,1.49,13.59,921.45,-188.19,81.63,107.31
16,1290.80,647.38,646.43,1560.06,70.35,437.37,836.43,838.18,844.89,854.20,863.48,442.17,837.41,839.58,843.58,854.07,863.28,439.7671744,1.39,15.82,935.85,-189.64,82.47,109.10
17,1305.13,650.37,648.10,1564.96,68.98,438.14,834.55,841.26,848.47,855.46,862.80,441.92,835.43,840.54,844.20,853.02,863.21,440.0293164,1.37,14.96,927.54,-192.82,82.08,106.71
18,1304.01,650.49,652.74,1557.39,69.98,439.25,836.36,840.48,848.85,854.05,860.52,442.08,837.47,839.94,844.49,851.19,860.72,440.6642256,1.42,15.86,927.61,-191.58,82.04,106.79
19,1305.34,650.02,652.16,1566.37,71.06,437.48,837.31,839.78,844.99,850.72,861.82,441.83,833.68,840.37,848.20,850.80,861.04,439.6614292,1.55,14.75,937.06,-193.00,82.11,108.73
20,1308.81,654.78,652.58,1560.49,69.66,438.68,837.09,839.42,845.64,854.27,861.92,437.51,836.58,841.84,843.07,853.36,861.82,438.1002388,1.55,13.70,936.71,-192.69,82.49,108.45
21,1298.61,648.82,645.76,1565.96,68.50,439.65,832.66,839.07,844.19,854.62,861.04,440.47,834.89,840.41,845.74,850.59,860.85,440.0574416,1.62,15.80,926.15,-190.54,81.71,108.02
22,1307.38,646.76,646.48,1564.17,71.35,438.68,832.89,838.02,845.07,855.25,860.52,439.07,836.14,841.63,843.04,853.54,861.72,438.8752575,1.55,15.20,929.29,-194.74,82.40,108.31
23,1292.21,652.24,645.29,1553.41,68.71,439.26,835.98,838.20,847.51,855.00,863.50,437.92,836.38,840.87,845.16,852.04,860.97,438.5919144,1.41,13.73,921.57,-191.50,82.00,108.84
24,1305.14,654.76,648.14,1558.82,70.23,438.06,836.80,840.16,846.75,853.66,863.10,442.34,835.96,839.84,848.54,854.53,862.22,440.188698,1.59,14.20,938.85,-192.57,82.22,107.91
25,1292.07,650.00,647.89,1560.64,68.16,441.29,837.40,839.76,846.70,852.97,863.38,442.95,834.55,838.52,845.20,851.93,861.34,442.1192736,1.39,15.96,926.89,-188.74,81.98,107.34
26,1295.80,654.59,653.49,1557.28,71.75,437.28,832.54,841.03,845.61,851.19,863.17,440.55,835.00,839.07,848.95,855.00,863.07,438.9096585,1.62,13.61,923.02,-192.19,82.08,107.96
27,1291.06,650.76,648.44,1560.97,68.35,439.57,836.59,840.23,848.21,853.64,861.49,437.42,836.39,838.96,846.54,854.92,862.54,438.5001602,1.57,16.08,924.77,-192.45,82.24,106.94
28,1298.62,650.20,647.26,1557.48,70.62,438.99,835.87,839.34,848.52,851.44,862.57,441.88,833.95,839.90,848.43,850.59,860.51,440.431342,1.56,13.75,933.56,-188.66,82.25,109.11
29,1306.31,647.53,645.82,1557.54,69.00,442.44,834.91,841.57,843.64,852.68,862.95,438.90,835.78,839.87,844.17,852.95,860.73,440.6755189,1.52,15.70,937.11,-193.73,82.04,108.94
30,1305.53,645.17,645.11,1559.20,71.19,437.22,833.81,839.34,847.57,853.87,861.42,437.87,834.96,840.95,847.27,855.06,861.26,437.5430419,1.63,15.84,925.09,-194.56,82.02,106.74
31,1306.48,647.36,653.29,1561.98,71.94,440.54,834.94,841.27,844.72,854.72,862.18,440.70,834.43,840.84,846.78,850.71,862.66,440.6197541,1.41,13.78,935.20,-190.43,81.50,107.89
32,1301.22,646.96,654.48,1556.95,69.09,441.70,836.56,839.87,847.79,851.17,860.94,438.51,835.10,838.53,843.87,852.33,862.77,440.0944109,1.51,14.40,922.79,-192.09,82.08,107.57
33,1308.98,652.72,652.73,1563.73,70.14,441.24,836.93,839.90,848.55,853.56,861.80,442.78,834.16,841.92,845.46,852.58,861.03,442.0128241,1.49,13.93,931.59,-189.40,81.52,106.96
34,1301.24,648.50,647.93,1552.88,71.20,437.53,836.54,838.78,843.13,851.17,861.22,440.77,834.20,838.18,848.57,853.36,861.01,439.1489416,1.51,15.34,938.31,-192.34,82.14,107.92
35,1291.76,650.26,652.05,1559.76,68.05,437.16,835.87,841.55,846.69,854.49,860.70,440.82,837.40,841.45,848.48,854.39,863.18,438.9917937,1.57,16.10,923.33,-189.11,82.26,108.36
36,1294.72,646.06,645.04,1562.04,71.70,442.41,835.41,841.38,846.99,853.45,861.63,441.66,836.35,838.89,845.25,852.08,861.99,442.0370091,1.37,15.08,931.76,-185.09,82.31,107.18
37,1303.50,646.48,652.92,1560.80,68.08,437.68,834.94,839.73,846.27,855.19,862.01,441.95,834.65,839.40,844.58,853.04,861.50,439.8228326,1.59,13.89,924.17,-190.94,81.58,107.72
38,1296.52,654.93,650.87,1563.43,71.05,441.97,833.97,839.01,844.86,851.56,861.69,442.71,835.16,838.08,846.32,854.68,862.87,442.3398953,1.42,15.47,933.81,-194.84,81.91,108.33
39,1303.55,646.25,653.99,1554.39,68.25,438.21,836.09,838.18,843.96,850.75,863.25,442.87,836.84,841.70,844.86,853.31,861.76,440.5530094,1.43,16.34,924.44,-193.84,82.24,106.91
40,1301.40,654.94,646.43,1560.37,68.76,437.83,833.20,838.82,844.33,850.83,860.66,438.33,835.06,838.12,846.62,854.48,862.51,438.0763635,1.36,15.85,937.62,-193.99,82.16,107.05
41,1307.95,647.19,647.09,1566.68,70.20,439.06,837.20,838.29,848.88,853.77,861.17,437.34,837.10,838.05,843.99,855.35,861.39,438.2009833,1.52,14.96,925.58,-191.08,81.89,107.49
42,1298.35,647.64,645.26,1556.70,70.67,442.15,834.14,841.41,844.47,852.77,863.16,442.78,834.72,838.49,844.80,852.12,861.57,442.4659225,1.44,15.98,929.53,-189.20,82.14,107.15
43,1305.31,646.95,652.91,1556.19,68.42,441.59,835.73,840.87,846.69,852.06,861.44,437.96,833.51,838.52,844.57,850.97,862.97,439.7665594,1.60,15.57,931.23,-191.97,81.68,108.59
44,1307.45,651.60,650.43,1553.12,69.37,437.00,834.11,838.77,845.38,851.67,863.43,440.05,836.75,841.22,845.58,854.17,861.15,438.5275654,1.56,14.25,921.71,-185.33,81.76,108.23
45,1303.43,649.72,649.37,1553.23,68.14,437.39,834.54,839.98,844.85,855.29,861.43,440.41,834.25,839.06,846.58,854.46,863.17,438.8977251,1.49,16.47,937.52,-193.76,81.88,107.64
46,1299.57,648.62,654.50,1555.54,71.11,440.04,837.19,838.87,845.31,852.54,861.80,441.62,836.69,840.25,843.03,853.07,860.58,440.8305038,1.42,15.38,929.48,-186.47,81.54,108.24
47,1309.34,649.13,647.73,1567.46,71.08,437.04,836.66,841.11,844.37,851.10,862.17,440.20,834.27,838.89,844.36,850.75,860.74,438.6157398,1.45,15.59,931.66,-193.23,82.36,107.70
48,1298.00,651.30,647.18,1564.63,69.91,442.06,835.25,839.70,847.12,850.61,863.41,440.42,835.45,839.44,844.88,854.45,861.98,441.23877,1.37,14.82,937.26,-186.16,81.64,108.29
49,1304.01,647.29,649.56,1553.23,71.48,439.50,833.53,839.84,846.75,851.47,862.98,441.74,835.71,839.97,846.94,851.65,862.03,440.6217613,1.60,15.53,926.97,-191.47,81.50,107.38
50,1304.18,654.92,652.41,1557.27,70.52,439.53,836.71,838.27,844.90,855.02,863.32,437.25,835.72,841.45,848.27,851.54,861.66,438.3918463,1.48,13.99,936.36,-190.38,81.78,107.49
51,1290.42,654.75,648.18,1559.75,71.72,438.50,833.70,838.60,843.49,852.44,863.29,439.60,836.72,841.50,846.94,853.47,860.63,439.0470866,1.43,14.61,930.49,-187.72,81.75,106.78
52,1300.37,651.88,647.50,1558.29,71.29,437.05,834.93,838.49,843.22,855.48,862.69,437.22,836.07,838.22,843.71,852.30,862.48,437.1339964,1.41,14.53,935.28,-188.37,81.72,107.74
53,1291.56,653.97,650.62,1563.03,71.46,439.86,832.64,841.02,843.90,850.51,863.11,440.48,833.92,838.13,848.03,852.35,861.13,440.1658726,1.60,13.78,939.41,-193.35,81.91,107.16
54,1298.98,648.69,653.58,1559.57,71.37,442.65,834.37,840.80,847.67,851.77,861.10,437.52,832.80,839.22,848.87,852.75,862.89,440.0734782,1.42,15.64,927.46,-194.40,81.90,107.50
55,1296.34,652.77,654.52,1567.09,70.55,437.63,835.68,838.37,845.58,852.91,861.61,439.52,834.83,840.03,847.18,853.62,863.33,438.5769684,1.37,14.67,936.65,-193.14,82.01,109.21
56,1309.50,649.67,651.56,1554.60,68.62,441.67,835.32,838.25,845.20,851.27,862.46,442.95,835.92,840.77,848.41,852.65,860.50,442.3101837,1.46,14.76,927.05,-187.74,82.49,107.96
57,1308.86,653.57,647.45,1560.74,69.31,440.04,832.66,841.50,844.57,852.41,862.31,440.79,834.67,841.84,848.75,850.90,862.43,440.4179546,1.57,16.14,939.35,-191.22,82.36,108.57
58,1299.53,654.05,649.59,1557.32,68.61,437.06,836.15,841.50,843.21,852.54,862.55,439.59,836.60,841.29,843.07,854.65,862.97,438.3216452,1.64,16.06,924.00,-186.83,81.66,108.74
59,1305.63,650.37,650.05,1561.94,68.39,441.96,836.10,838.65,848.13,854.97,860.76,439.15,837.46,838.19,847.73,854.24,861.35,440.5544693,1.46,14.41,936.15,-185.73,81.73,107.90
60,1293.52,649.15,646.88,1563.05,70.07,439.14,834.68,840.96,846.66,850.99,862.24,437.39,836.52,841.48,844.84,851.01,861.02,438.2652606,1.38,15.90,937.56,-189.31,81.95,108.79
61,1294.52,648.09,645.26,1562.81,71.61,438.09,834.92,838.63,843.20,853.68,862.08,438.61,835.78,838.52,846.35,853.36,862.70,438.3501221,1.38,15.21,927.48,-188.85,82.34,107.93
62,1295.59,648.91,653.73,1553.21,71.83,442.92,834.91,839.40,845.69,851.24,863.28,438.05,833.58,839.87,845.58,853.16,862.62,440.4776296,1.59,15.86,933.43,-194.86,81.72,106.77
63,1303.32,654.91,650.11,1555.88,68.34,437.26,833.82,838.73,843.99,851.60,861.56,439.67,835.81,838.19,848.61,852.07,862.12,438.4597908,1.39,14.76,935.38,-190.79,81.62,109.06
64,1299.79,649.17,652.42,1556.15,68.25,438.80,835.79,840.77,844.13,852.48,861.78,440.30,836.44,841.14,845.38,852.53,861.92,439.5520632,1.39,14.56,935.89,-191.44,81.61,107.34
65,1305.13,645.88,648.51,1552.63,68.78,439.70,835.74,841.20,843.53,851.69,860.57,439.90,834.99,839.53,844.98,853.93,861.33,439.7967576,1.39,16.01,931.10,-187.91,81.89,108.26
66,1291.24,645.56,651.26,1554.91,71.13,438.17,834.18,839.16,846.29,855.42,861.19,438.24,835.79,841.08,843.47,853.61,862.83,438.2064572,1.53,13.78,928.81,-186.70,81.74,108.73
67,1291.20,647.48,648.14,1561.14,69.42,442.31,833.01,838.88,848.48,851.45,862.89,440.62,836.42,838.96,844.69,852.69,863.06,441.4641961,1.57,16.45,924.73,-187.32,81.97,108.66
68,1305.75,646.98,653.56,1558.19,68.01,441.77,835.22,838.20,848.70,852.37,862.72,438.93,835.73,839.75,844.60,855.33,861.64,440.3405628,1.59,13.96,937.84,-185.52,81.88,107.22
69,1296.73,650.62,647.39,1559.02,68.68,437.32,836.08,838.62,843.41,851.39,860.63,441.82,836.58,838.71,843.64,850.87,862.76,439.567174,1.43,14.91,939.43,-189.86,81.65,108.47
70,1291.92,648.09,652.19,1553.88,71.88,442.14,835.92,838.13,844.52,850.82,861.58,442.88,834.96,840.08,848.47,853.60,861.07,442.5108834,1.41,14.99,927.63,-191.46,82.24,107.57
71,1308.39,650.94,651.31,1560.06,69.45,442.95,836.04,841.09,847.71,854.09,860.88,439.72,834.24,841.35,846.07,853.75,861.94,441.3352122,1.54,13.63,939.91,-187.43,82.35,107.78
72,1305.39,648.84,653.25,1556.45,71.73,442.61,835.07,840.16,843.87,854.35,861.24,437.15,836.63,841.33,844.38,853.48,860.52,439.8676721,1.35,15.12,930.23,-189.53,82.27,108.09
73,1295.92,645.36,652.58,1560.75,71.60,442.18,833.36,841.01,844.71,851.92,863.19,440.73,836.73,840.50,847.58,852.84,862.18,441.4495989,1.46,13.95,925.47,-186.79,81.51,108.59
74,1303.23,647.78,654.17,1563.00,69.41,440.99,834.38,839.57,845.94,851.47,861.25,439.50,836.82,838.27,844.99,855.23,861.78,440.2406554,1.52,14.91,930.82,-188.05,82.41,107.41
75,1302.53,645.00,647.02,1566.19,68.34,438.33,837.38,838.66,843.03,852.95,861.17,442.70,833.32,841.89,843.95,853.29,860.91,440.5158071,1.58,14.31,921.89,-191.68,81.90,107.77
76,1296.05,652.80,649.17,1555.50,70.93,438.77,834.28,838.78,846.27,851.25,863.06,440.11,834.30,839.75,848.12,850.52,862.58,439.4369716,1.46,14.63,935.84,-188.95,82.20,107.72
77,1297.46,651.92,647.99,1555.55,70.83,439.55,836.02,840.23,848.57,854.81,863.35,442.83,835.97,838.99,848.80,855.38,861.63,441.1827092,1.46,14.22,936.78,-192.85,81.57,106.87
78,1300.10,647.10,654.14,1552.59,69.39,438.77,834.87,838.24,848.41,853.08,863.19,437.78,835.64,841.91,845.53,852.45,862.23,438.2729182,1.50,15.12,939.55,-190.24,81.86,108.48
79,1302.11,646.54,654.77,1558.54,69.02,437.53,835.52,838.74,848.89,851.26,861.64,438.26,832.60,839.78,847.55,853.14,861.48,437.9002296,1.40,14.03,930.21,-193.72,81.99,109.02
80,1302.54,653.77,649.48,1557.03,68.93,441.30,837.02,839.09,844.77,850.77,862.89,438.06,836.79,839.10,845.76,851.66,863.42,439.6819372,1.64,14.28,929.63,-188.24,81.75,107.43
81,1302.49,654.02,650.98,1554.36,68.81,437.05,835.55,839.37,844.47,852.97,861.10,441.52,833.94,841.01,846.47,854.42,862.22,439.279098,1.57,14.81,925.40,-190.33,82.18,109.00
82,1304.34,646.58,652.06,1564.32,68.42,441.12,836.30,841.83,846.70,852.05,861.86,441.69,835.02,841.84,844.90,851.46,861.90,441.4053001,1.36,15.01,925.97,-190.82,82.03,107.69
83,1306.61,647.32,653.83,1553.65,68.92,441.49,835.36,838.30,843.93,853.91,860.89,438.40,835.28,838.72,844.57,852.37,862.80,439.9344339,1.42,13.58,924.15,-185.30,82.49,106.75
84,1300.88,654.60,645.71,1557.05,68.95,442.10,834.90,838.48,847.27,852.46,860.98,438.48,837.40,839.44,848.95,851.43,860.97,440.304298,1.60,15.70,928.88,-188.27,81.95,109.24
85,1291.90,653.96,650.92,1562.66,71.37,442.65,835.61,838.55,844.80,855.49,862.59,438.25,836.97,839.60,848.09,855.07,860.70,440.4597443,1.44,15.43,931.81,-194.48,81.75,108.48
86,1302.97,651.49,653.92,1552.69,68.42,439.33,836.65,840.38,843.09,853.87,861.79,438.72,833.07,842.00,844.01,852.03,863.40,439.0286475,1.59,13.73,925.03,-191.95,82.16,109.14
87,1306.45,647.21,647.19,1552.74,69.88,441.44,832.80,839.31,843.13,854.42,862.67,440.92,835.49,840.06,844.26,854.03,861.45,441.1787851,1.52,15.26,934.51,-188.45,82.42,108.41
88,1296.12,653.95,652.59,1559.74,70.52,437.43,833.56,839.16,847.89,855.14,863.18,438.73,835.35,839.26,844.60,853.03,862.29,438.0783281,1.52,14.22,931.18,-186.07,82.06,108.61
89,1294.54,646.51,650.20,1562.99,68.60,439.47,834.10,839.53,845.29,852.86,862.13,438.93,835.43,838.06,843.67,852.35,861.09,439.1998694,1.36,13.78,937.24,-192.14,81.80,108.16
90,1299.52,650.97,647.09,1559.04,68.63,442.80,835.11,841.32,846.35,854.16,862.42,440.91,836.10,841.15,844.62,852.86,861.15,441.8549863,1.35,14.20,924.41,-192.11,81.72,107.29
91,1304.75,653.67,653.44,1559.78,71.74,440.47,836.16,841.52,848.21,850.52,861.99,438.24,835.30,840.42,845.79,852.36,861.10,439.3558591,1.37,14.25,930.93,-186.00,81.53,108.89
92,1300.80,650.47,651.42,1566.85,68.93,441.93,836.38,841.95,848.57,852.15,860.69,438.55,832.92,838.56,847.40,851.96,862.05,440.2384774,1.60,14.20,926.38,-187.92,82.02,108.84
93,1293.94,651.60,647.02,1560.11,69.17,439.80,837.27,841.76,845.62,853.58,862.61,441.06,837.34,838.86,848.52,854.30,861.26,440.4290984,1.57,14.26,934.90,-188.20,81.57,107.80
94,1303.90,651.38,648.42,1560.08,71.31,440.32,832.95,839.44,843.32,854.25,862.03,442.11,835.63,840.66,848.86,851.15,861.83,441.2089066,1.52,16.31,938.62,-189.30,82.39,108.31
95,1290.23,645.44,650.27,1559.38,71.47,442.70,833.87,838.45,847.05,852.68,861.48,441.18,832.95,839.75,846.30,854.17,862.04,441.9390352,1.62,16.06,929.62,-193.30,82.22,109.27
96,1307.89,648.90,650.74,1553.14,70.08,442.11,832.97,840.79,847.63,853.20,860.71,440.82,833.13,841.93,844.73,853.05,860.82,441.462321,1.41,14.90,921.89,-188.55,82.00,107.80
97,1304.90,651.49,652.74,1564.09,69.79,440.66,833.20,838.85,847.91,854.05,863.43,442.67,835.40,839.29,848.59,851.20,862.91,441.6678412,1.48,13.77,939.42,-186.88,81.71,107.48
98,1302.32,653.19,645.74,1556.67,68.77,438.49,835.02,839.47,844.68,851.88,862.86,442.92,836.78,841.82,844.08,854.01,861.78,440.6938983,1.59,15.55,933.93,-193.50,82.04,108.50
99,1304.48,648.93,651.46,1565.97,68.10,442.52,832.65,839.80,845.44,855.46,860.77,441.33,832.67,839.53,846.41,855.17,861.26,441.9252072,1.56,13.85,923.29,-193.38,82.33,109.14
100,1300.75,653.63,650.84,1562.67,71.47,439.19,834.82,838.80,848.87,851.15,860.59,438.96,837.42,841.16,843.41,855.30,862.60,439.0713318,1.56,15.48,936.64,-187.70,82.19,108.06
101,1296.45,654.83,647.75,1565.10,71.85,441.90,836.13,839.96,847.07,853.85,862.83,440.88,835.35,840.24,847.17,851.82,860.64,441.3883383,1.51,16.06,938.96,-193.03,82.40,108.81
102,1306.27,652.18,652.02,1554.02,68.65,442.03,836.34,840.40,844.65,853.60,860.64,439.74,835.49,839.95,844.04,854.68,863.17,440.8854185,1.49,15.77,924.74,-191.20,82.48,108.60
103,1302.26,647.85,647.62,1562.46,68.23,439.45,836.85,838.54,848.74,854.79,863.01,437.78,833.86,841.20,843.87,855.31,863.07,438.6147716,1.49,14.91,924.67,-185.92,82.05,107.87
104,1294.41,654.07,649.01,1561.47,68.06,439.05,835.46,838.33,843.29,853.41,863.01,441.94,836.87,840.14,848.01,854.91,860.54,440.485309,1.38,16.31,922.05,-193.82,82.46,107.93
105,1302.14,648.33,646.13,1562.74,69.99,441.79,832.75,840.56,844.20,852.57,863.44,441.34,836.73,840.71,845.14,850.56,860.52,441.5659282,1.61,14.29,925.35,-191.39,81.94,107.16
106,1297.50,646.48,646.12,1563.62,68.83,442.84,835.98,841.29,847.10,853.40,861.32,440.22,837.17,840.91,843.03,855.24,862.19,441.5307978,1.48,16.14,925.15,-192.75,81.98,106.87
107,1297.50,645.44,649.21,1566.32,68.27,437.42,836.59,838.97,847.22,853.27,861.03,439.92,836.17,838.87,843.77,852.67,861.41,438.6755384,1.52,16.49,928.56,-188.61,82.24,107.40
108,1295.88,649.11,651.50,1553.63,71.37,442.14,836.51,839.80,847.27,850.55,861.75,441.74,836.23,841.47,845.53,853.50,861.31,441.9387785,1.65,13.81,933.20,-192.04,81.75,108.76
109,1295.30,647.09,650.36,1556.23,70.15,441.45,837.21,838.25,847.00,852.49,861.32,441.79,836.67,840.83,845.59,850.57,862.02,441.6203718,1.39,16.34,933.24,-185.67,81.77,108.22
110,1305.55,646.15,647.30,1566.26,68.89,438.03,837.21,841.74,847.14,855.10,862.71,439.45,833.90,838.28,848.23,851.38,860.56,438.738973,1.51,15.59,937.56,-191.25,82.25,108.35
111,1295.79,645.52,648.57,1565.48,69.68,440.42,834.23,841.84,847.90,854.67,861.14,440.65,835.80,838.17,843.42,852.51,861.14,440.5345989,1.46,14.52,931.14,-190.03,81.79,108.91
112,1298.54,648.51,646.65,1564.81,70.47,438.85,833.73,841.08,846.38,854.60,862.91,438.95,835.45,840.42,848.32,852.28,862.57,438.9039018,1.44,13.84,927.35,-191.03,82.39,108.25
113,1297.11,648.50,651.33,1559.65,69.80,438.55,833.44,841.80,845.89,852.59,860.92,437.86,837.13,838.53,847.34,854.18,862.52,438.2051192,1.65,15.40,932.51,-187.65,81.90,108.46
114,1291.02,652.62,652.95,1566.73,69.56,437.36,835.49,841.07,844.45,854.23,862.75,443.00,835.56,840.07,846.34,855.40,863.38,440.1799496,1.43,14.63,930.05,-188.64,81.59,108.86
115,1307.88,648.77,650.51,1562.12,71.95,440.78,837.38,839.40,845.95,854.84,861.23,440.23,833.07,840.41,844.06,853.94,862.17,440.5040597,1.39,15.30,930.72,-193.41,81.50,108.42
116,1295.06,654.65,645.06,1553.05,69.20,442.63,832.71,839.08,846.29,851.20,862.93,441.80,835.37,841.06,843.94,852.27,863.31,442.216731,1.41,15.87,922.51,-194.22,81.91,108.42
117,1294.83,653.28,654.46,1555.49,71.79,437.09,836.29,838.71,845.04,854.77,862.68,438.37,834.40,838.36,846.15,853.60,861.69,437.7279423,1.41,13.79,930.48,-189.64,81.84,108.76
118,1296.30,650.81,652.57,1567.26,71.73,440.48,834.63,840.53,843.60,850.69,862.12,442.99,835.73,839.95,848.66,854.94,861.99,441.7369754,1.63,14.52,927.46,-188.99,82.48,107.79
119,1294.55,652.40,650.87,1557.94,68.66,438.60,832.91,838.21,845.90,855.44,862.55,442.33,835.52,839.25,843.92,854.45,861.79,440.4638539,1.51,14.89,931.31,-185.70,81.91,108.25
120,1299.59,653.80,648.59,1560.23,71.64,442.25,836.71,838.40,847.68,851.76,860.98,438.37,836.08,838.51,844.21,854.83,861.46,440.3208614,1.61,14.07,934.61,-188.94,81.96,107.41
121,1302.35,650.29,653.83,1560.35,68.91,441.28,835.40,841.59,846.63,852.30,862.39,441.10,837.30,841.67,844.40,855.25,861.14,441.1912071,1.59,13.87,933.99,-192.89,81.68,109.25
122,1292.43,645.87,648.29,1559.86,70.60,439.03,832.77,840.11,845.74,851.94,861.72,440.07,833.35,838.99,846.39,855.04,861.83,439.54664,1.63,15.15,920.77,-185.44,81.97,108.86
123,1291.37,652.26,652.85,1561.77,71.35,437.15,836.03,838.98,846.69,853.83,862.38,437.38,836.04,839.93,848.48,852.29,862.36,437.2620357,1.44,16.33,935.59,-188.87,81.96,108.00
124,1303.36,651.56,645.07,1564.39,70.62,441.96,834.81,839.58,848.49,853.17,862.23,438.45,833.77,839.82,848.51,851.83,862.28,440.2127814,1.53,15.86,934.43,-192.80,82.21,108.17
125,1301.66,647.61,649.08,1554.61,68.39,439.75,836.75,841.13,844.68,855.44,860.80,441.67,832.72,840.91,846.00,855.47,862.16,440.710396,1.60,15.98,920.69,-189.86,81.80,108.86
126,1293.80,647.98,653.62,1555.64,69.47,438.65,833.15,839.43,845.27,852.20,862.70,438.12,834.91,838.68,845.59,853.66,861.76,438.3822684,1.62,16.33,923.34,-190.59,82.05,106.94
127,1299.46,650.79,651.31,1555.75,69.10,438.99,835.06,839.16,846.48,852.42,860.87,442.80,836.58,840.34,843.52,851.62,860.65,440.8961565,1.62,13.51,939.11,-190.56,81.54,106.81
128,1297.55,646.98,649.51,1565.99,70.79,437.80,833.39,838.15,843.28,853.15,861.28,440.06,834.46,840.60,848.81,854.38,862.81,438.9337741,1.58,13.95,937.07,-189.52,82.14,107.21
129,1296.79,654.91,654.94,1562.31,68.33,439.09,836.64,841.84,848.51,850.97,860.93,439.41,833.33,840.84,847.81,854.23,862.83,439.2538609,1.50,13.81,936.24,-194.63,82.31,109.16
130,1306.14,648.25,647.83,1564.03,68.48,440.30,833.59,840.35,844.79,853.75,862.07,438.50,837.17,841.73,848.38,855.08,860.68,439.403659,1.44,14.03,923.62,-193.44,82.20,108.68
